Gesundheitsleistungen_Güter (HC);HF.1 Finanzierungssystem Staat und verpflichtende Beitragssysteme der Gesundheitsfinanzierung;HF.1.1 Finanzierungssystem Staat;HF.1.2 Verpflichtende Beitragssysteme: Krankenversicherungssysteme;HF.1.2.1 Finanzierungssystem Sozialversicherungsträger;HF.1.2.2 Verpflichtende private Krankenversicherungssysteme;HF.2 Freiwillige Systeme der Gesundheitsfinanzierung;HF.2.1 Freiwillige Krankenversicherungssysteme;HF.2.2 Finanzierungssystem Private Organisationen ohne Erwerbszweck;HF.2.3 Finanzierungssystem Unternehmen;HF.3 Selbstzahlungen der privaten Haushalte;HF.3.1 Selbstzahlungen ohne Selbstbehalte;HF.3.2 Selbstbehalte (Kostenteilung mit Dritten);HF.4 Finanzierungssystem übrige Welt;Alle HF - Alle Finanzierungssysteme
HC.5.1.3 Sonstige medizinische Verbrauchsgüter;0,000;0,000;0,000;0,000;0,000;0,688;0,688;0,000;0,000;62,545;62,545;0,000;0,000;63,233
HC.5.2 Therapeutische Hilfsmittel und andere medizinische Güter;463,726;3,820;459,906;459,906;0,000;33,395;33,395;0,000;0,000;693,964;686,735;7,229;0,000;1191,085
HC.7.1 Verwaltung der Gesundheitsversorgung;53,208;53,208;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;53,208
HC.7.2 Verwaltung der Gesundheitssystemfinanzierung;494,292;22,669;471,623;471,623;0,000;492,668;492,668;0,000;0,000;0,000;0,000;0,000;0,000;986,960
Alle HC - Alle Gesundheitsleistungen und -güter;17266,659;6643,547;10623,112;10623,112;0,000;1722,053;1358,037;324,220;39,797;4541,846;4030,201;511,645;0,000;23530,559
HC.1+HC.2 Leistungen der kurativen und rehabilitativen Gesundheitsversorgung;11422,546;4069,188;7353,358;7353,358;0,000;973,683;832,780;140,903;0,000;2234,169;2074,766;159,402;0,000;14630,398
HC.3 Langzeitpflege;2546,644;2534,074;12,570;12,570;0,000;48,996;0,000;48,996;0,000;573,659;573,659;0,000;0,000;3169,299
HC.4 Hilfsleistungen der Gesundheitsversorgung;502,239;42,475;459,765;459,765;0,000;147,240;0,000;147,240;0,000;109,372;103,762;5,610;0,000;758,851
HC.5 Medizinische Güter;2630,353;3,524;2626,829;2626,829;0,000;48,135;48,135;0,000;0,000;1685,217;1338,482;346,735;0,000;4363,704
HC.6 Prävention;395,938;295,609;100,329;100,329;0,000;49,365;0,000;8,563;40,802;89,786;89,786;0,000;0,000;535,089
HC.7 Verwaltung der Gesundheitsversorgung und Gesundheitssystemfinanzierung;596,580;72,307;524,272;524,272;0,000;405,957;405,957;0,000;0,000;0,000;0,000;0,000;0,000;1002,537
Alle HC - Alle Gesundheitsleistungen und -güter;18094,300;7017,177;11077,123;11077,123;0,000;1673,376;1286,872;345,701;40,802;4692,202;4180,455;511,747;0,000;24459,878
HC.1 Leistungen der kurativen Gesundheitsversorgung;10636,138;3973,146;6662,992;6662,992;0,000;827,856;806,436;21,420;0,000;1845,311;1687,865;157,446;0,000;13309,305
HC.2 Leistungen der rehabilitativen Gesundheitsversorgung;786,408;96,042;690,366;690,366;0,000;145,827;26,344;119,483;0,000;388,858;386,902;1,956;0,000;1321,092
HC.1.1+HC.2.1 Stationäre kurative und rehabilitative Gesundheitsversorgung;7089,304;3227,334;3861,970;3861,970;0,000;853,240;730,080;123,160;0,000;398,246;396,290;1,956;0,000;8340,790
HC.1.1 Stationäre kurative Gesundheitsversorgung;6474,367;3186,922;3287,445;3287,445;0,000;723,714;703,736;19,978;0,000;210,131;210,131;0,000;0,000;7408,212
HC.2.1 Stationäre rehabilitative Gesundheitsversorgung;614,938;40,412;574,525;574,525;0,000;129,526;26,344;103,182;0,000;188,115;186,159;1,956;0,000;932,578
HC.1.2+HC.2.2 Tagesfälle der kurativen und rehabilitativen Gesundheitsversorgung;82,752;42,964;39,788;39,788;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;83,752
HC.1.2 Tagesfälle der kurativen Gesundheitsversorgung;82,752;42,964;39,788;39,788;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;83,752
HC.1.3+HC.2.3 Ambulante kurative und rehabilitative Gesundheitsversorgung;4237,210;797,683;3439,528;3439,528;0,000;120,443;102,700;17,743;0,000;1834,923;1677,476;157,446;0,000;6192,576
HC.1.3 Ambulante kurative Gesundheitsversorgung;4065,740;742,052;3323,688;3323,688;0,000;104,142;102,700;1,442;0,000;1634,180;1476,733;157,446;0,000;5804,062
HC.1.3.1 Allgemeine ambulante Gesundheitsversorgung;972,358;100,214;872,145;872,145;0,000;5,950;5,950;0,000;0,000;243,952;178,734;65,218;0,000;1222,260
HC.1.3.2 Ambulante zahnärztliche Gesundheitsversorgung;744,141;36,891;707,250;707,250;0,000;49,899;49,899;0,000;0,000;807,075;773,916;33,159;0,000;1601,115
HC.1.3.3 Spezialisierte ambulante Gesundheitsversorgung;2292,892;591,247;1701,646;1701,646;0,000;46,851;46,851;0,000;0,000;404,813;345,743;59,070;0,000;2744,556
HC.1.3.9 Sonstige ambulante kurative Gesundheitsversorgung;56,348;13,701;42,647;42,647;0,000;1,442;0,000;1,442;0,000;178,340;178,340;0,000;0,000;236,130
HC.2.3 Ambulante rehabilitative Gesundheitsversorgung;171,470;55,630;115,840;115,840;0,000;16,301;0,000;16,301;0,000;200,743;200,743;0,000;0,000;388,514
HC.1.4+HC.2.4 Häusliche kurative und rehabilitative Gesundheitsversorgung;13,280;1,208;12,073;12,073;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;13,280
HC.1.4 Häusliche kurative Gesundheitsversorgung;13,280;1,208;12,073;12,073;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;13,280
HC.3.1 Stationäre Langzeitpflege;978,819;978,819;0,000;0,000;0,000;0,000;0,000;0,000;0,000;549,551;549,551;0,000;0,000;1528,370
HC.3.2 Tagesfälle der Langzeitpflege;8,668;8,668;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;8,668
HC.3.4 Häusliche Langzeitpflege;1559,157;1546,587;12,570;12,570;0,000;48,996;0,000;48,996;0,000;24,108;24,108;0,000;0,000;1632,261
HC.4.1 Klinische Labore;109,995;0,046;109,948;109,948;0,000;0,000;0,000;0,000;0,000;33,659;33,659;0,000;0,000;143,653
HC.4.2 Bildgebende Diagnoseverfahren;176,330;0,105;176,225;176,225;0,000;0,000;0,000;0,000;0,000;53,948;53,948;0,000;0,000;230,278
HC.4.3 Patiententransporte;215,915;42,324;173,591;173,591;0,000;147,240;0,000;147,240;0,000;21,765;16,155;5,610;0,000;384,920
HC.5.1 Arzneimittel und sonstige medizinische Verbrauchsgüter;2182,892;0,000;2182,892;2182,892;0,000;11,665;11,665;0,000;0,000;1043,607;703,648;339,959;0,000;3238,164
HC.5.1.1 Verschriebene Arzneimittel;2182,892;0,000;2182,892;2182,892;0,000;3,800;3,800;0,000;0,000;339,959;0,000;339,959;0,000;2526,651
HC.5.1.2 Rezeptfreie Arzneimittel;0,000;0,000;0,000;0,000;0,000;6,913;6,913;0,000;0,000;618,496;618,496;0,000;0,000;625,410
HC.5.1.3 Sonstige medizinische Verbrauchsgüter;0,000;0,000;0,000;0,000;0,000;0,952;0,952;0,000;0,000;85,152;85,152;0,000;0,000;86,104
HC.5.2 Therapeutische Hilfsmittel und andere medizinische Güter;447,461;3,524;443,937;443,937;0,000;36,470;36,470;0,000;0,000;641,610;634,834;6,776;0,000;1125,540
HC.7.1 Verwaltung der Gesundheitsversorgung;49,252;49,252;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;49,252
HC.7.2 Verwaltung der Gesundheitssystemfinanzierung;547,328;23,056;524,272;524,272;0,000;405,957;405,957;0,000;0,000;0,000;0,000;0,000;0,000;953,285
Alle HC - Alle Gesundheitsleistungen und -güter;18094,300;7017,177;11077,123;11077,123;0,000;1673,376;1286,872;345,701;40,802;4692,202;4180,455;511,747;0,000;24459,878
HC.1+HC.2 Leistungen der kurativen und rehabilitativen Gesundheitsversorgung;12010,859;4337,707;7673,152;7673,152;0,000;984,333;839,871;144,462;0,000;2227,580;2069,963;157,617;0,000;15222,773
HC.3 Langzeitpflege;2701,875;2689,276;12,599;12,599;0,000;55,295;0,000;55,295;0,000;611,066;611,066;0,000;0,000;3368,236
HC.4 Hilfsleistungen der Gesundheitsversorgung;551,700;70,570;481,130;481,130;0,000;176,332;0,000;176,332;0,000;102,257;96,549;5,708;0,000;830,289
HC.5 Medizinische Güter;2756,468;3,063;2753,405;2753,405;0,000;52,736;52,736;0,000;0,000;1767,705;1394,238;373,467;0,000;4576,909
HC.6 Prävention;403,923;302,335;101,588;101,588;0,000;51,523;0,000;9,342;42,181;92,015;92,015;0,000;0,000;547,460
HC.7 Verwaltung der Gesundheitsversorgung und Gesundheitssystemfinanzierung;567,140;79,723;487,417;487,417;0,000;413,897;413,897;0,000;0,000;0,000;0,000;0,000;0,000;981,037
Alle HC - Alle Gesundheitsleistungen und -güter;18991,965;7482,674;11509,291;11509,291;0,000;1734,116;1306,504;385,431;42,181;4800,623;4263,830;536,793;0,000;25526,705
HC.1 Leistungen der kurativen Gesundheitsversorgung;11158,757;4227,645;6931,112;6931,112;0,000;826,186;812,432;13,754;0,000;1853,909;1698,537;155,371;0,000;13838,852
HC.2 Leistungen der rehabilitativen Gesundheitsversorgung;852,102;110,062;742,040;742,040;0,000;158,147;27,439;130,708;0,000;373,672;371,426;2,246;0,000;1383,921
HC.1.1+HC.2.1 Stationäre kurative und rehabilitative Gesundheitsversorgung;7480,153;3440,446;4039,707;4039,707;0,000;862,457;741,110;121,347;0,000;383,644;381,398;2,246;0,000;8726,254
HC.1.1 Stationäre kurative Gesundheitsversorgung;6814,731;3389,316;3425,414;3425,414;0,000;725,607;713,671;11,936;0,000;217,433;217,433;0,000;0,000;7757,771
HC.2.1 Stationäre rehabilitative Gesundheitsversorgung;665,422;51,129;614,293;614,293;0,000;136,850;27,439;109,411;0,000;166,211;163,965;2,246;0,000;968,483
HC.1.2+HC.2.2 Tagesfälle der kurativen und rehabilitativen Gesundheitsversorgung;98,803;51,623;47,180;47,180;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;99,803
HC.1.2 Tagesfälle der kurativen Gesundheitsversorgung;98,803;51,623;47,180;47,180;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;99,803
HC.1.3+HC.2.3 Ambulante kurative und rehabilitative Gesundheitsversorgung;4417,965;844,038;3573,927;3573,927;0,000;121,876;98,761;23,115;0,000;1842,936;1687,565;155,371;0,000;6382,778
HC.1.3 Ambulante kurative Gesundheitsversorgung;4231,285;785,105;3446,180;3446,180;0,000;100,579;98,761;1,818;0,000;1635,476;1480,104;155,371;0,000;5967,340
HC.1.3.1 Allgemeine ambulante Gesundheitsversorgung;992,338;100,612;891,726;891,726;0,000;5,175;5,175;0,000;0,000;214,073;160,728;53,345;0,000;1211,586
HC.1.3.2 Ambulante zahnärztliche Gesundheitsversorgung;761,119;36,538;724,581;724,581;0,000;45,742;45,742;0,000;0,000;843,564;811,269;32,295;0,000;1650,425
HC.1.3.3 Spezialisierte ambulante Gesundheitsversorgung;2416,142;632,767;1783,375;1783,375;0,000;47,844;47,844;0,000;0,000;393,571;323,839;69,731;0,000;2857,556
HC.1.3.9 Sonstige ambulante kurative Gesundheitsversorgung;61,687;15,189;46,498;46,498;0,000;1,818;0,000;1,818;0,000;184,268;184,268;0,000;0,000;247,773
HC.2.3 Ambulante rehabilitative Gesundheitsversorgung;186,680;58,933;127,747;127,747;0,000;21,297;0,000;21,297;0,000;207,461;207,461;0,000;0,000;415,438
HC.1.4+HC.2.4 Häusliche kurative und rehabilitative Gesundheitsversorgung;13,938;1,600;12,338;12,338;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;13,938
HC.1.4 Häusliche kurative Gesundheitsversorgung;13,938;1,600;12,338;12,338;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;13,938
HC.3.1 Stationäre Langzeitpflege;1062,302;1062,302;0,000;0,000;0,000;0,000;0,000;0,000;0,000;583,587;583,587;0,000;0,000;1645,888
HC.3.2 Tagesfälle der Langzeitpflege;10,931;10,931;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;10,931
HC.3.4 Häusliche Langzeitpflege;1628,642;1616,043;12,599;12,599;0,000;55,295;0,000;55,295;0,000;27,479;27,479;0,000;0,000;1711,417
HC.4.1 Klinische Labore;118,468;0,052;118,416;118,416;0,000;0,000;0,000;0,000;0,000;31,552;31,552;0,000;0,000;150,019
HC.4.2 Bildgebende Diagnoseverfahren;181,754;0,095;181,659;181,659;0,000;0,000;0,000;0,000;0,000;48,403;48,403;0,000;0,000;230,156
HC.4.3 Patiententransporte;251,479;70,423;181,055;181,055;0,000;176,332;0,000;176,332;0,000;22,303;16,595;5,708;0,000;450,113
HC.5.1 Arzneimittel und sonstige medizinische Verbrauchsgüter;2288,599;0,000;2288,599;2288,599;0,000;12,626;12,626;0,000;0,000;1086,443;719,580;366,863;0,000;3387,668
HC.5.1.1 Verschriebene Arzneimittel;2288,599;0,000;2288,599;2288,599;0,000;4,263;4,263;0,000;0,000;366,863;0,000;366,863;0,000;2659,726
HC.5.1.2 Rezeptfreie Arzneimittel;0,000;0,000;0,000;0,000;0,000;7,392;7,392;0,000;0,000;636,107;636,107;0,000;0,000;643,499
HC.5.1.3 Sonstige medizinische Verbrauchsgüter;0,000;0,000;0,000;0,000;0,000;0,970;0,970;0,000;0,000;83,473;83,473;0,000;0,000;84,443
HC.5.2 Therapeutische Hilfsmittel und andere medizinische Güter;467,869;3,063;464,806;464,806;0,000;40,110;40,110;0,000;0,000;681,263;674,658;6,604;0,000;1189,241
HC.7.1 Verwaltung der Gesundheitsversorgung;55,495;55,495;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;55,495
HC.7.2 Verwaltung der Gesundheitssystemfinanzierung;511,644;24,228;487,417;487,417;0,000;413,897;413,897;0,000;0,000;0,000;0,000;0,000;0,000;925,541
Alle HC - Alle Gesundheitsleistungen und -güter;18991,965;7482,674;11509,291;11509,291;0,000;1734,116;1306,504;385,431;42,181;4800,623;4263,830;536,793;0,000;25526,705
HC.1+HC.2 Leistungen der kurativen und rehabilitativen Gesundheitsversorgung;12710,263;4590,119;8120,144;8120,144;0,000;1018,680;861,680;157,000;0,000;2351,886;2190,234;161,652;0,000;16080,829
HC.3 Langzeitpflege;2810,512;2797,980;12,531;12,531;0,000;58,167;0,000;58,167;0,000;655,381;655,381;0,000;0,000;3524,060
HC.4 Hilfsleistungen der Gesundheitsversorgung;569,175;72,150;497,025;497,025;0,000;225,319;0,000;225,319;0,000;103,663;97,859;5,804;0,000;898,156
HC.5 Medizinische Güter;2987,037;2,753;2984,284;2984,284;0,000;58,309;58,309;0,000;0,000;1876,612;1481,709;394,902;0,000;4921,957
HC.6 Prävention;439,691;327,613;112,079;112,079;0,000;55,284;0,000;10,153;45,131;103,101;103,101;0,000;0,000;598,077
HC.7 Verwaltung der Gesundheitsversorgung und Gesundheitssystemfinanzierung;613,134;77,162;535,972;535,972;0,000;432,842;432,842;0,000;0,000;0,000;0,000;0,000;0,000;1045,976
Alle HC - Alle Gesundheitsleistungen und -güter;20129,811;7867,776;12262,035;12262,035;0,000;1848,601;1352,831;450,638;45,131;5090,644;4528,285;562,359;0,000;27069,055
HC.1 Leistungen der kurativen Gesundheitsversorgung;11787,809;4471,481;7316,328;7316,328;0,000;850,200;833,102;17,098;0,000;1953,562;1794,399;159,163;0,000;14591,570
HC.2 Leistungen der rehabilitativen Gesundheitsversorgung;922,454;118,638;803,816;803,816;0,000;168,480;28,578;139,902;0,000;398,324;395,835;2,490;0,000;1489,259
HC.1.1+HC.2.1 Stationäre kurative und rehabilitative Gesundheitsversorgung;7868,344;3628,339;4240,005;4240,005;0,000;896,289;762,782;133,507;0,000;389,254;386,764;2,490;0,000;9153,887
HC.1.1 Stationäre kurative Gesundheitsversorgung;7148,312;3574,746;3573,565;3573,565;0,000;749,458;734,204;15,254;0,000;220,960;220,960;0,000;0,000;8118,730
HC.2.1 Stationäre rehabilitative Gesundheitsversorgung;720,032;53,592;666,440;666,440;0,000;146,831;28,578;118,253;0,000;168,294;165,804;2,490;0,000;1035,157
HC.1.2+HC.2.2 Tagesfälle der kurativen und rehabilitativen Gesundheitsversorgung;104,982;54,857;50,125;50,125;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;105,982
HC.1.2 Tagesfälle der kurativen Gesundheitsversorgung;104,982;54,857;50,125;50,125;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;105,982
HC.1.3+HC.2.3 Ambulante kurative und rehabilitative Gesundheitsversorgung;4721,420;904,273;3817,147;3817,147;0,000;122,391;98,898;23,493;0,000;1961,633;1802,470;159,163;0,000;6805,443
HC.1.3 Ambulante kurative Gesundheitsversorgung;4518,998;839,227;3679,771;3679,771;0,000;100,741;98,898;1,843;0,000;1731,602;1572,439;159,163;0,000;6351,341
HC.1.3.1 Allgemeine ambulante Gesundheitsversorgung;1059,122;106,337;952,785;952,785;0,000;4,527;4,527;0,000;0,000;222,304;168,137;54,166;0,000;1285,952
HC.1.3.2 Ambulante zahnärztliche Gesundheitsversorgung;792,034;40,256;751,778;751,778;0,000;42,379;42,379;0,000;0,000;878,494;845,006;33,488;0,000;1712,907
HC.1.3.3 Spezialisierte ambulante Gesundheitsversorgung;2600,009;675,706;1924,303;1924,303;0,000;51,992;51,992;0,000;0,000;425,645;354,137;71,509;0,000;3077,646
HC.1.3.9 Sonstige ambulante kurative Gesundheitsversorgung;67,833;16,928;50,905;50,905;0,000;1,843;0,000;1,843;0,000;205,159;205,159;0,000;0,000;274,835
HC.2.3 Ambulante rehabilitative Gesundheitsversorgung;202,422;65,046;137,376;137,376;0,000;21,649;0,000;21,649;0,000;230,031;230,031;0,000;0,000;454,102
HC.1.4+HC.2.4 Häusliche kurative und rehabilitative Gesundheitsversorgung;15,517;2,649;12,868;12,868;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;15,517
HC.1.4 Häusliche kurative Gesundheitsversorgung;15,517;2,649;12,868;12,868;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;15,517
HC.3.1 Stationäre Langzeitpflege;1106,339;1106,339;0,000;0,000;0,000;0,000;0,000;0,000;0,000;623,373;623,373;0,000;0,000;1729,712
HC.3.2 Tagesfälle der Langzeitpflege;11,469;11,469;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;11,469
HC.3.4 Häusliche Langzeitpflege;1692,704;1680,172;12,531;12,531;0,000;58,167;0,000;58,167;0,000;32,008;32,008;0,000;0,000;1782,879
HC.4.1 Klinische Labore;122,933;0,057;122,876;122,876;0,000;0,000;0,000;0,000;0,000;32,183;32,183;0,000;0,000;155,117
HC.4.2 Bildgebende Diagnoseverfahren;186,593;0,137;186,457;186,457;0,000;0,000;0,000;0,000;0,000;48,836;48,836;0,000;0,000;235,430
HC.4.3 Patiententransporte;259,648;71,956;187,692;187,692;0,000;225,319;0,000;225,319;0,000;22,643;16,839;5,804;0,000;507,610
HC.5.1 Arzneimittel und sonstige medizinische Verbrauchsgüter;2495,804;0,000;2495,804;2495,804;0,000;14,077;14,077;0,000;0,000;1140,771;752,576;388,195;0,000;3650,653
HC.5.1.1 Verschriebene Arzneimittel;2495,804;0,000;2495,804;2495,804;0,000;4,790;4,790;0,000;0,000;388,195;0,000;388,195;0,000;2888,790
HC.5.1.2 Rezeptfreie Arzneimittel;0,000;0,000;0,000;0,000;0,000;8,275;8,275;0,000;0,000;670,624;670,624;0,000;0,000;678,900
HC.5.1.3 Sonstige medizinische Verbrauchsgüter;0,000;0,000;0,000;0,000;0,000;1,011;1,011;0,000;0,000;81,952;81,952;0,000;0,000;82,963
HC.5.2 Therapeutische Hilfsmittel und andere medizinische Güter;491,233;2,753;488,480;488,480;0,000;44,232;44,232;0,000;0,000;735,840;729,133;6,707;0,000;1271,305
HC.7.1 Verwaltung der Gesundheitsversorgung;54,306;54,306;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;54,306
HC.7.2 Verwaltung der Gesundheitssystemfinanzierung;558,828;22,855;535,972;535,972;0,000;432,842;432,842;0,000;0,000;0,000;0,000;0,000;0,000;991,670
Alle HC - Alle Gesundheitsleistungen und -güter;20129,811;7867,776;12262,035;12262,035;0,000;1848,601;1352,831;450,638;45,131;5090,644;4528,285;562,359;0,000;27069,055
HC.1+HC.2 Leistungen der kurativen und rehabilitativen Gesundheitsversorgung;13475,012;5072,714;8402,298;8402,298;0,000;1065,599;878,634;186,965;0,000;2367,732;2202,732;165,000;0,000;16908,343
HC.3 Langzeitpflege;3039,558;3027,405;12,154;12,154;0,000;62,212;0,000;62,212;0,000;740,972;740,972;0,000;0,000;3842,742
HC.4 Hilfsleistungen der Gesundheitsversorgung;593,601;82,024;511,577;511,577;0,000;220,626;0,000;220,626;0,000;105,912;99,882;6,030;0,000;920,140
HC.5 Medizinische Güter;3202,875;2,522;3200,352;3200,352;0,000;62,234;62,234;0,000;0,000;1895,642;1508,868;386,775;0,000;5160,751
